,mean,reps,sem,std,norm.GR,norm.GR_sem
acpS_3_204_W_MM7,-0.2785838987707314,5.0,0.017634216595161345,0.039431307036735655,0.7747957587969424,0.014255311900821558
acpS_3_204_W_MM8,-0.2547959923311114,6.0,0.014153729995202468,0.03466941644537104,0.7940256476856494,0.011441723796053824
acpS_3_204_W_MM9,-0.305826621706516,6.0,0.02603064015533736,0.06376178605857877,0.7527730332405469,0.021042890813431626
argG_1_24_B_MM10,0.0407076978743603,6.0,0.008632029997338083,0.021144068937876338,1.0329076671385928,0.006978040633972171
argG_1_24_B_MM11,0.025168249508087857,6.0,0.011361316865100536,0.027829429125573294,1.0203457434470855,0.009184366917695246
argG_1_24_B_MM12,0.0189245339666228,6.0,0.005801892274589952,0.014211675615341047,1.0152983906495696,0.00469018759880385
argG_1_24_B_MM13,0.015192933537364358,6.0,0.007771795310035899,0.01903693289494334,1.0122818048136604,0.006282636122565457
argG_1_24_B_MM14,-0.005185132572756715,6.0,0.011555589719066528,0.028305298488664206,0.9958083943410314,0.009341415012925508
argG_1_24_B_MM2,-0.5214650984218322,5.0,0.01637754925514589,0.036621313439357255,0.5784531973234609,0.013239435477232003
argG_1_24_B_MM3,-0.4765419913253772,6.0,0.022537200872363928,0.05520464236789953,0.6147685561463583,0.018218831898388396
argG_1_24_B_MM4,-0.4363664406601549,6.0,0.04362973863598365,0.10687059726915286,0.647246041178336,0.03526981360645929
argG_1_24_B_MM5,-0.3871432352480211,6.0,0.027391958663387696,0.06709632178070897,0.6870375534420966,0.02214336612084865
argG_1_24_B_MM6,-0.33460849662372466,6.0,0.020595418481206936,0.050448266318043486,0.7295060737007723,0.016649115802405922
argG_1_24_B_MM7,-0.3551532339455948,6.0,0.016253069504873003,0.03981172704092848,0.7128979280049738,0.01313880737981126
argG_1_24_B_MM8,-0.305232990764301,6.0,0.020580993383524544,0.05041293218923182,0.7532529181387269,0.01663745470787685
argG_1_24_B_MM9,-0.11732068283010828,6.0,0.00982039557667212,0.02405495823513165,0.9051592160538928,0.007938702645476301
argG_1_24_C,-0.5826608973691343,6.0,0.026350212800724134,0.06454457597552776,0.5289831686263468,0.021301229918567102
argG_1_24_D_MM2-8,-0.41134369065410475,6.0,0.01998029471691412,0.04894152696686606,0.6674741643857147,0.016151856336963744
argG_1_24_D_MM3-10,-0.0173026006366361,6.0,0.01248808452032944,0.030589434939556345,0.9860127628897174,0.010095233826829886
argG_1_24_D_MM4-6,-0.4677994267763343,5.0,0.012249774485686992,0.02739132845903864,0.6218359517285283,0.009902586546209785
argG_1_24_D_MM7-9,-0.3188346856035739,6.0,0.008211176375166803,0.02011319230715464,0.7422574536525509,0.00663782707153423
argG_1_24_D_MM9-19,-0.11101557923922276,5.0,0.007756555175198888,0.017344184642972507,0.9102561942933304,0.006270316160726508
argG_1_24_W_MM1,-0.47719763353608097,6.0,0.02415968419163418,0.05917889861628882,0.6142385420026344,0.0195304300431239
argG_1_24_W_MM10,-0.21918183652442025,6.0,0.012766185865184987,0.031270641331234215,0.8228157499490039,0.010320047976614207
argG_1_24_W_MM11,-0.45263851100543634,6.0,0.033149765832000924,0.08120001138115053,0.6340918737225645,0.026797915791963025
argG_1_24_W_MM13,-0.06145650387902237,5.0,0.011584337680785768,0.02590336652854924,0.9503192202272313,0.009364654557399125
argG_1_24_W_MM16,-0.4555793376622114,6.0,0.048575842606499185,0.11898602821166981,0.6317145409381819,0.039268191102454074
argG_1_24_W_MM19,-0.3430929916340716,5.0,0.007882140161382804,0.017625001209033115,0.7226472987707508,0.006371837719024897
argG_1_24_W_MM2,-0.493741183130426,6.0,0.018296341013373688,0.04481669964272202,0.6008649136284198,0.014790566191695862
argG_1_24_W_MM20,-0.14129587859285114,5.0,0.015328714060855885,0.03427604664773061,0.8857779244815225,0.012391568335163139
argG_1_24_W_MM3,-0.49440833892537633,6.0,0.029838434764608637,0.07308893989661384,0.6003255920264571,0.024121071208716285
argG_1_24_W_MM4,-0.4357795305599021,6.0,0.02538584131575333,0.062182357914859196,0.647720493019828,0.02052164233483007
argG_1_24_W_MM5,-0.45445671578216346,6.0,0.03469456026427998,0.08498396949772663,0.6326220564470456,0.028046711072204335
argG_1_24_W_MM6,-0.4048325937471531,5.0,0.025782549125714684,0.05765153247832581,0.6727376654164631,0.020842336681186385
argG_1_24_W_MM7,-0.5333320334425082,6.0,0.039353303755956234,0.0963955138948455,0.5688600941020263,0.0318127894336321
argG_1_24_W_MM8,-0.4423655542321278,6.0,0.027267154818253824,0.06679061604219365,0.64239642199421,0.0220424760286121
argG_1_24_W_MM9,-0.48987644754424076,6.0,0.025964798269072036,0.06360050703352636,0.6039891244998226,0.02098966493748837
