Well,Fluor,Target,Content,Sample,Cq,SQ
O16,SYBR,,Unkn,,,
O17,SYBR,,Unkn,,,
O18,SYBR,,Unkn,,,
O19,SYBR,,Unkn,,,
O20,SYBR,,Unkn,,,
O21,SYBR,,Unkn,,,
O22,SYBR,,Unkn,,,
O23,SYBR,,Unkn,,,
O24,SYBR,,Unkn,,,
P01,SYBR,,Unkn,,,
P02,SYBR,,Unkn,,,
P03,SYBR,,Unkn,,,
P04,SYBR,,Unkn,,,
P05,SYBR,,Unkn,,,
P06,SYBR,,Unkn,,,
P07,SYBR,,Unkn,,,
P08,SYBR,,Unkn,,,
P09,SYBR,,Unkn,,,
P10,SYBR,,Unkn,,,
P11,SYBR,,Unkn,,,
P12,SYBR,,Unkn,,,
P13,SYBR,,Unkn,,,
P14,SYBR,,Unkn,,,
P15,SYBR,,Unkn,,,
P16,SYBR,,Unkn,,,
P17,SYBR,,Unkn,,,
P18,SYBR,,Unkn,,,
P19,SYBR,,Unkn,,,
P20,SYBR,,Unkn,,,
P21,SYBR,,Unkn,,,
P22,SYBR,,Unkn,,,
P23,SYBR,,Unkn,,,
P24,SYBR,,Unkn,,,
